Club;Classement;pts;J.;G.;N.;P.;p.;c.;+/-
Paris SG;1;47;19;15;2;2;48;14;34
RC Lens;2;44;19;13;5;1;32;13;19
OM;3;42;19;13;3;3;39;16;23
AS Monaco;4;37;19;11;4;4;42;26;16
Rennes;5;37;19;11;4;4;36;20;16
LOSC;6;34;19;10;4;5;35;25;10
FC Lorient;7;32;19;9;5;5;31;29;2
Clermont;8;28;19;8;4;7;24;27;-3
OL;9;25;19;7;4;8;28;23;5
OGC Nice;10;25;19;6;7;6;22;20;2
Reims;11;25;19;5;10;4;21;23;-2
Toulouse FC;12;23;19;6;5;8;29;34;-5
FC Nantes;13;21;19;4;9;6;21;24;-3
Troyes;14;18;19;4;6;9;30;40;-10
Montpellier;15;17;19;5;2;12;28;40;-12
Strasbourg;16;15;19;2;9;8;24;34;-10
Brest;17;15;19;3;6;10;19;34;-15
AC Ajaccio;18;15;19;4;3;12;16;34;-18
AJ Auxerre;19;13;19;3;4;12;16;41;-25
Angers SCO;20;8;19;2;2;15;17;41;-24
Havre AC;1;42;19;12;6;1;29;7;22
Bordeaux;2;33;19;9;6;4;25;14;11
FC Metz;3;31;19;9;4;6;31;22;9
Sochaux;4;30;19;9;3;7;27;17;10
Grenoble;5;30;19;8;6;5;20;17;3
Amiens SC;6;29;19;8;5;6;22;20;2
SM Caen;7;28;19;7;7;5;23;20;3
SC Bastia;8;28;19;8;4;7;18;21;-3
Paris FC;9;27;19;7;6;6;17;19;-2
Quevilly RM;10;25;19;6;7;6;22;23;-1
Valenciennes;11;25;19;6;7;6;17;18;-1
FC Annecy;12;24;19;6;6;7;18;17;1
Guingamp;13;24;19;6;6;7;24;27;-3
Laval;14;23;19;7;2;10;25;31;-6
Pau FC;15;22;19;5;7;7;16;22;-6
Dijon FCO;16;21;19;5;6;8;21;22;-1
Rodez AF;17;19;19;4;7;8;17;25;-8
Saint-Étienne;18;18;19;5;6;8;26;31;-5
Niort;19;17;19;4;5;10;15;29;-14
Nimes O.;20;16;19;4;4;11;17;28;-11
Arsenal;1;50;19;16;2;1;45;16;29
Man. City;2;45;20;14;3;3;53;20;33
Newcastle;3;39;20;10;9;1;33;11;22
Man. United;4;39;20;12;3;5;32;25;7
Tottenham;5;33;20;10;3;7;39;31;8
Brighton;6;31;19;9;4;6;37;27;10
Fulham;7;31;20;9;4;7;32;29;3
Brentford;8;30;20;7;9;4;32;28;4
Liverpool;9;29;19;8;5;6;34;25;9
Chelsea;10;29;20;8;5;7;22;21;1
Aston Villa;11;28;20;8;4;8;23;27;-4
Crystal Palace;12;24;20;6;6;8;18;27;-9
Nottingham Forest;13;21;20;5;6;9;16;35;-19
Leicester;14;18;20;5;3;12;28;35;-7
Leeds;15;18;19;4;6;9;26;33;-7
West Ham;16;18;20;5;3;12;17;25;-8
Wolverhampton;17;17;20;4;5;11;12;30;-18
Bournemouth;18;17;20;4;5;11;19;42;-23
Everton;19;15;20;3;6;11;15;28;-13
Southampton;20;15;20;4;3;13;17;35;-18
Barcelona;1;44;17;14;2;1;36;6;30
Real Madrid;2;41;17;13;2;2;38;16;22
Real Sociedad;3;38;18;12;2;4;28;18;10
Atlético;4;31;18;9;4;5;27;16;11
Villarreal;5;31;18;9;4;5;21;13;8
Betis;6;28;17;8;4;5;19;14;5
Osasuna;7;28;18;8;4;6;18;17;1
Athletic;8;26;18;7;5;6;25;19;6
Rayo Vallecano;9;26;18;7;5;6;24;22;2
Mallorca;10;25;18;7;4;7;15;16;-1
Girona;11;21;18;5;6;7;26;28;-2
Espanyol;12;20;18;4;8;6;22;26;-4
Valencia;13;19;16;5;4;7;23;18;5
Almería;14;18;17;5;3;9;18;26;-8
Sevilla;15;18;18;4;6;8;18;26;-8
Getafe;16;17;18;4;5;9;16;25;-9
Celta;17;17;18;4;5;9;17;29;-12
Valladolid;18;17;18;5;2;11;13;28;-15
Cádiz;19;16;18;3;7;8;12;29;-17
Elche;20;6;18;0;6;12;12;36;-24
Napoli;1;50;19;16;2;1;46;14;32
Milan;2;38;18;11;5;2;35;20;15
Inter;3;37;18;12;1;5;38;24;14
Roma;4;37;19;11;4;4;25;16;9
Atalanta;5;35;19;10;5;4;37;23;14
Lazio;6;34;18;10;4;4;31;15;16
Udinese;7;28;19;7;7;5;27;21;6
Torino;8;26;19;7;5;7;19;20;-1
Juventus;9;23;19;11;5;3;30;15;15
Fiorentina;10;23;19;6;5;8;21;25;-4
Bologna;11;22;18;6;4;8;23;29;-6
Empoli;12;22;18;5;7;6;16;22;-6
Monza;13;22;19;6;4;9;23;28;-5
Lecce;14;20;19;4;8;7;18;22;-4
Spezia;15;18;19;4;6;9;17;30;-13
Salernitana;16;18;19;4;6;9;23;37;-14
Sassuolo;17;17;19;4;5;10;18;29;-11
Verona;18;12;19;3;3;13;17;31;-14
Sampdoria;19;9;19;2;3;14;8;32;-24
Cremonese;20;7;18;0;7;11;13;32;-19
