Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J;Dispo@MPGLaurent?
Mbappé Kylian;A;49;111;6.12;4.5;6.37;17;1;35;1.31;0;1.49;13;0;32;0.88;0;0.94;1361;35;2960;80.06;35;84.57;105;93;5;3.77;4.5;0;5;6.5;6.5;5;6;8;7;5;6;5;5;7.5;6.5;4.5;9;7;0;8.5;8;6;8;4;7;5;9;9;3.5;7;0;8;5;6;6.5;6.5;7;5;7.5;2;;2;2;12;32;0.8256;891;3;2;37.91;9;;;5.75;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
David Jonathan;A;38;63;5.89;5.89;5.3;19;19;38;1.46;1.46;1.54;12;12;16;0.95;0.95;0.92;1602;1602;3046;84.32;84.32;80.16;134;190;6;3.17;8;4;6;5.5;4.5;5;5;6.5;7.5;6;7;6;4;8;5;4.5;4;7;8.5;5;8;3.5;3.5;4.5;4.5;3;4;4.5;5;4;7.5;4;3.5;5;3;5;5;0;7.5;2;;;4;5;13;0.8392;691;4;9;41.51;13;;;6.5;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Moffi Terem;A;27;44;5.58;5.5;5.31;18;7;36;1.33;1.04;1.21;12;4;18;0.94;0.86;0.92;1395;565;2620;77.5;80.71;72.78;116;146;5.5;2.25;6;6;5;4;6;7;4.5;0;4.5;8;5;6.5;4.5;4.5;7;7;3;7;5;5;4;4;6.5;4.5;4.5;4;8;6;4;4.5;5.5;5;4.5;4.5;0;6;5;0;3;1;;;;;7;0.7576;418;3;5;38.67;17;;;4.75;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Neymar;A;41;70;6.38;4.5;6.31;17;2;29;1.4;0;1.4;11;0;21;0.88;1;0.93;1325;180;2355;77.94;90;81.21;120;112;4.5;3.73;4.5;4.5;0;6;5.5;7.5;7.5;0;6.5;4.5;5;6;6.5;6;6.5;6.5;9;7.5;9;7;0;6.5;6.5;6;0;7;9;8;4;6;4.5;5.5;4.5;0;0;0;0;0;7;2;;;10;12;10;0.8212;1381;2;12;49.51;22;;;4.5;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Lacazette Alexandre;A;34;59;5.76;5.76;5.33;19;19;36;1.23;1.23;1.22;11;11;13;1;1;0.86;1658;1658;2741;87.26;87.26;76.14;151;211;5;3.09;5;5;4;7.5;6;4;6.5;8;7;6;4;5;5;6.5;5.5;4.5;7;7;6;4;4.5;4.5;0;0;0;4;3;4.5;6;6.5;4.5;5.5;4;5.5;4.5;4;4.5;6.5;6.5;4;;;4;5;20;0.7244;800;11;16;44.95;31;;;6,00;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Ben Yedder Wissam;A;36;55;5.63;7;5.76;16;2;35;1.4;1.41;1.29;11;4;27;0.81;0.5;0.86;958;99;2430;59.88;49.5;69.43;87;90;5;3.27;8;6;0;5;6;5;5.5;7;4;6;8.5;7;4.5;0;4.5;4;4.5;4.5;0;6;8;5;6;6;5;6;4;6;7.5;4.5;5;6;5;4;7.5;6;8;0;4;4;;;2;2;6;0.7488;424;3;3;38.46;9;;;5.5;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;
Embolo Breel;A;23;41;5.5;5.5;5.5;19;19;19;1.49;1.49;1.49;10;10;10;0.84;0.84;0.84;1365;1365;1365;71.84;71.84;71.84;137;137;6;2.3;7;6;4;4;4;7;6.5;4;6;7;7;7;4;6.5;4;4;3;7.5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;;;2;7;6;0.6711;562;5;7;42.99;33;;;4,00;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;
Balogun Folarin;A;25;37;5.42;4.25;5.42;18;2;18;1.4;1.06;1.4;10;0;10;0.83;1;0.83;1330;167;1330;73.89;83.5;73.89;133;133;6;2.5;3.5;5;0;8;4.5;6;4.5;7;3;5;6;4;4.5;6;7;4;7;6.5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;;;1;5;6;0.6803;495;1;2;31.35;15;;;5,00;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;Sursis (2sem.)
Terrier Martin;MO;5;64;6.41;0;6.29;16;0;36;1.19;0;1.07;9;0;22;1;0;1;1328;0;2961;83;0;82.25;148;135;6;0.56;0;0;6;6;6.5;0;8;4.5;8;8;7.5;5;7.5;6;7;4.5;6.5;6;5.5;5;7.5;5;6;7;7;6.5;6.5;7;7;7;5.5;7;7;4.5;7;5.5;6;4;5;;;1;4;4;11;0.7552;835;14;11;57.89;12;;;6.25;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;† ACL
Openda Loïs;A;24;40;5.37;5.37;5.37;19;19;19;1.31;1.31;1.31;9;9;9;0.74;0.74;0.74;1203;1203;1203;63.32;63.32;63.32;134;134;6;2.67;4;6;7.5;4;4.5;4.5;8;4.5;4;4.5;5.5;4;4.5;6.5;6;7;7;4.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;;;1;5;18;0.7325;385;1;3;36.19;19;;;4.5;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Messi Lionel;A;40;76;7.03;6;6.68;15;2;31;1.25;1.41;1.3;8;1;13;1;1;0.97;1312;180;2689;87.47;90;86.74;164;207;6.5;5;5;7;0;0;5.5;0;7;8;5.5;0;7;8;7.5;8;8;5;8;7;9;8;8;5;5.5;7;0;4.5;8;6.5;0;6;4;7.5;6;6;8;5.5;0;0;9;;1;2;10;15;21;0.8355;1240;;11;51.52;3;;;5.5;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Mama Baldé;MO;17;28;5.21;4.25;4.84;17;2;29;1.63;0.35;1.52;8;1;8;0.94;1;0.76;1392;180;1966;81.88;90;67.79;174;246;4.5;2.13;4.5;4;0;0;3;6;7.5;5;4;3.5;4;8;4;5;8;6.5;4.5;4;7;4.5;5;4.5;0;0;2;6;4;6;0;0;4.5;3;4;3;5.5;0;0;0;2;;;1;3;1;16;0.7252;548;4;8;43.72;22;;;4.5;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Diallo Habib;A;27;34;5.16;5.16;4.97;19;19;33;1.14;1.14;0.98;8;8;11;0.79;0.79;0.64;1340;1340;1882;70.53;70.53;57.03;168;171;5;3.38;7;4.5;7;4;6;5;4;4;3;6;6.5;6;4.5;5;6;4;4.5;5;6;4.5;4.5;5;4.5;4;6;5;0;4.5;4;4.5;4;5;6;4.5;0;0;0;0;3.5;1;;;;2;8;0.6718;540;9;5;45.37;18;;;4,00;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Savanier Téji;MO;33;40;5.75;5.69;5.78;16;13;29;1.35;1.32;1.29;7;5;11;1;1;0.97;1383;1118;2452;86.44;86;84.55;198;223;5;4.71;4;5;7;8;5.5;6;4.5;4.5;4.5;6;6;8;5;0;0;0;5.5;4.5;8;0;0;0;0;7;6;5;4;6;7;5.5;5;4;7.5;5.5;0;0;5;0;2;3;2;3;1;4;15;0.7739;1238;18;18;52.63;31;;;5.5;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Wahi Elye;A;29;39;4.94;4.25;5;18;6;34;1.47;1.6;1.33;7;1;13;1;1;0.91;1486;485;2550;82.56;80.83;75;212;196;5.5;4.14;3;2.5;4;7;5;4;0;6;3.5;4;6;5;4.5;6;7;8;4.5;4;5;0;0;0;6;6;4;5;4.5;6;6.5;5.5;4;6;4.5;4;5.5;6.5;2;0;5;;;;1;;12;0.7022;485;3;3;31.98;17;;;4.5;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;Suspendu
Ouattara Dango;A;19;28;6.31;6;5.68;18;9;33;0.99;0.9;1.18;6;2;7;1;1;0.7;1553;806;2119;86.28;89.56;64.21;259;303;6;3.17;5;8;6;5.5;6;6.5;6;5;6;0;5;7;8;6.5;6;7;6.5;8;5.5;6;4.5;5;0;4.5;6;4.5;6;3.5;4.5;4.5;3.5;6;4.5;4.5;0;0;0;0;4.5;;1;1;5;6;14;0.6306;819;20;26;54.65;15;;;5,00;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Sotoca Florian;A;25;38;6.08;6.08;5.86;19;19;36;1.18;1.18;1.03;6;6;9;0.95;0.95;0.92;1598;1598;2862;84.11;84.11;79.5;266;318;6.5;4.17;5;6.5;6;6;6;7;6;5;5.5;3.5;7.5;4.5;6;6;8;7;7;5;8;5.5;6.5;6.5;5;6;5.5;5.5;6;0;7;5;5;6;6;5;0;4;6.5;4.5;9.5;1;;;6;10;16;0.7966;1070;19;11;50.31;22;;;6.25;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
