Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Maja Josh;A;23;67;5.61;5.61;5.5;19;19;21;1.34;1.34;1.31;11;11;11;1;1;0.9;1547;1547;1555;81.42;81.42;74.05;141;141;6;2.09;6;7.5;7.5;4;5;4;4.5;4;6.5;7;6;5;8;7;4;5;6;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;4.5;0;;;;;;;;;;;;;;;;6;Bordeaux;Dijon FCO;sam. 28/01 19:00;50;0.61976;;
Mikautadze Georges;A;18;47;5.78;5.27;5.78;18;11;18;1.53;1.23;1.53;9;5;9;0.89;0.82;0.89;1410;825;1410;78.33;75;78.33;157;157;6;2;6.5;6;5;4.5;8;5;4;6;4.5;4;4.5;0;5;8.5;4.5;7;8;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;8;FC Metz;Valenciennes;sam. 28/01 19:00;50;0.15089;0.2651;
Boutobba Bilal;MO;25;44;5.61;5.3;5.53;18;10;34;1.17;0.98;1.07;8;3;10;1;1;1;1589;869;2979;88.28;86.9;87.62;199;298;6;3.13;4.5;7;6;5.5;5;4.5;6.5;4;4.5;5.5;0;5;7.5;5;4.5;8;5;6;7;6;7;5;4;5.5;7.5;5.5;5.5;7;5;0;0;4.5;5;4.5;5;5;0;5;;;;;;;;;;;;;;;;5.25;Niort;Nimes O.;sam. 28/01 19:00;50;0.3736;0.36738;
Krasso Jean-Philippe;A;19;43;5.38;5.17;5.22;16;3;32;1.38;0.76;1.27;8;0;12;0.88;0.33;0.88;1283;155;2447;80.19;51.67;76.47;160;204;5;2.38;5;6;4.5;0;3.5;5;0;0;5;6;4;6;6;9.5;6;4;6;5;4.5;5;4.5;6;3.5;5;0;7;7;3.5;4;3.5;6;6;4.5;6;5;4.5;0;0;;;;;;;;;;;;;;;;5;Saint-Étienne;Sochaux;sam. 28/01 15:00;50;0.40334;0.44172;
Alexandre Mendy Alexandre;A;28;52;5.24;5.24;5.26;19;19;34;1.22;1.22;1.29;8;8;15;1;1;1;1482;1482;2720;78;78;80;185;181;5;3.5;6;7;5;5;4;6.5;7;3.5;5.5;3.5;4;7;4;4.5;5;6.5;6;4;5.5;0;4.5;5;4;2.5;4.5;7;7;5.5;5;6;0;0;4;8;6;6;0;4.5;;;;;;;;;;;;;;;;3.5;SM Caen;Laval;sam. 28/01 19:00;50;0.03701;0.15309;
Sissoko Ibrahim;A;31;60;5.22;5;5.27;18;9;31;1.25;1.06;1.3;8;4;15;0.83;0.89;0.81;1255;675;2165;69.72;75;69.84;157;144;5.5;3.88;3.5;4.5;4;4;6;6;6.5;5;5.5;0;8;6;7;4.5;5.5;6;4;4;4;0;0;0;4.5;6.5;0;4.5;4.5;8;5.5;0;4.5;3.5;4.5;6;4.5;5;0;8;;;;;;;;;;;;;;;;5.5;Sochaux;Saint-Étienne;sam. 28/01 15:00;50;0.30204;0.38763;
Sahi Moïse;A;14;28;5.11;5.11;5;18;18;22;1.39;1.39;1.28;8;8;8;0.83;0.83;0.68;1120;1120;1181;62.22;62.22;53.68;140;148;6.5;1.75;6.5;7.5;4;8;4.5;5;4.5;3.5;6.5;4;4;5;3.5;5;5;7;4;4.5;0;0;0;0;0;4.5;0;0;0;0;4.5;0;0;0;0;0;5;0;0;4;;;;;;;;;;;;;;;;3.5;FC Annecy;Pau FC;sam. 28/01 19:00;50;;;
Maggiotti Julien;MD;23;37;6.33;0;6.33;15;0;15;1.13;0;1.13;7;0;7;1;0;1;1300;0;1300;86.67;0;86.67;186;186;6.5;3.29;0;0;0;0;7;7;5.5;8;6.5;7;8;5;7;4.5;5.5;6;6.5;7;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;8;Laval;SM Caen;sam. 28/01 19:00;50;0.1915;0.23415;
Livolant Jérémy;MO;26;45;5.66;5.66;5.76;19;19;37;1.32;1.32;1.23;7;7;11;1;1;0.97;1658;1658;3138;87.26;87.26;84.81;237;285;6;3.71;4.5;4.5;4.5;6.5;4;4.5;6;4.5;3.5;5;7;8.5;6.5;7;6.5;6;5;6.5;7;7;7.5;7;5;5;6;4.5;7.5;7;6;4.5;5;6;0;7;5.5;3.5;5.5;6;;;;;;;;;;;;;;;;6.25;Guingamp;Rodez AF;sam. 28/01 19:00;50;0.10784;0.20463;
Mafouta Louis;A;18;35;5.24;5.65;4.86;17;10;32;1.46;1.72;1.24;7;6;9;1;1;0.69;1365;866;1885;80.29;86.6;58.91;195;209;5;2.57;3;7;7.5;6;7;3.5;5;4.5;8;5;0;0;5;5;4.5;4;6;4;4;4.5;4.5;0;6;0;5;4;3.5;4.5;6;3.5;3.5;4;4.5;4;4.5;4.5;0;0;;;;;;;;;;;;;;;;4;Quevilly RM;Paris FC;sam. 28/01 19:00;50;;;
