Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;j19;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Lewandowski Robert;A;39;112;6.13;0;6.13;15;0;15;1.71;0;1.71;13;0;13;0.93;0;0.93;1158;0;1158;77.2;0;77.2;89;89;6;3;0;0;0;4.5;2.5;4.5;6;7;7.5;5;4.5;6.5;8;7.5;7.5;8;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5;;;1;4;3;12;0.7942;512;;4;44.27;19;;;0;Barcelona;Betis;mer. 01/02 21:00;50;0.36599;0.45422;0.51904
Joselu;A;32;56;5.72;5.72;5.38;18;18;36;1.2;1.2;1.31;10;10;15;1;1;1;1620;1620;3166;90;90;87.94;162;211;6;3.2;5;7.5;6.5;6.5;4.5;7;5;4.5;4;6.5;8;6;4.5;6;4;6.5;5;6;0;6;7;3;6.5;6;7;4;4;3.5;4.5;0;4.5;3.5;6;6;4;3.5;5;6.5;3;3;;1;2;2;10;0.6156;713;4;1;56.34;12;;;0;Espanyol;Almería;ven. 27/01 21:00;50;0.39208;0.37941;
Benzema Karim;A;43;105;6.15;6.5;6.15;10;3;23;1.27;0.87;1.39;9;4;21;1;1;0.96;898;270;1933;89.8;90;84.04;100;92;5.5;4.78;7;0;5.5;7;0;0;0;0;7;6.5;0;3.5;0;0;5;8;6;6;4;0;8;0;6;5;7;5;6;0;8;7;6.5;7;0;0;3;0;7.5;0;4;3;1;1;1;5;11;0.8476;609;;4;37.25;3;;;7.5;Real Madrid;Valencia;jeu. 02/02 21:00;50;0.79485;0.04543;0.20303
Aspas Iago;A;38;62;5.58;5.58;5.57;18;18;36;1.25;1.25;1.31;8;8;14;0.89;0.89;0.94;1480;1480;3062;82.22;82.22;85.06;185;219;5;4.75;5;6;7;6;4.5;7;5;6.5;3;6;5;4;4.5;5;8;7;5;6;4.5;7;7;8.5;7;4;7;4;5;5;5;0;4.5;4;4.5;6;7;6;4;0;3;1;;2;3;7;17;0.7892;822;5;2;43.97;9;;;7;Celta;Athletic;dim. 29/01 18:30;50;0.09049;0.18955;0.23519
Sørloth Alexander;A;18;28;5.43;5.79;4.97;14;7;31;1.45;1.29;1.32;8;5;11;1;1;0.87;1111;552;2219;79.36;78.86;71.58;139;202;6;2.25;7;6;6.5;6;7;4;4;0;5;3.5;4;8;6.5;4;4.5;0;0;0;3.5;4.5;6;4;6.5;4.5;5;7;5;4;4;4.5;0;2.5;4;4;4;0;0;5;5.5;;;;1;2;7;0.7061;441;1;3;32.31;18;;;4.5;Real Sociedad;Real Madrid;dim. 29/01 21:00;50;0.63972;0.614;0.05412
Muriqi Vedat;A;20;39;5.38;5.56;5.33;16;8;29;1.15;1.27;1.1;8;4;13;1;1;1;1393;703;2562;87.06;87.88;88.34;174;197;5;2.5;5;4.5;4.5;4;7;7.5;6;6;0;0;5;4;4.5;6;5;7;6;4;7;6;5.5;5;0;5.5;3.5;6;4;4;4;0;0;6;6;6;0;0;0;0;9.5;2;;;1;1;6;0.6066;598;4;4;46.84;30;;;6;Mallorca;Cádiz;sam. 28/01 14:00;50;0.41547;0.41625;0.05458
Iglesias Borja;A;26;45;5.34;4.67;5.12;16;3;34;1.19;0.29;1.23;8;0;15;0.94;1;0.82;1187;224;2242;74.19;74.67;65.94;148;149;6;3.25;4.5;0;5;4.5;0;3;7;5;4;7;5;5;6.5;4.5;5;6.5;6;7;5;5.5;6;4.5;4;4.5;4;6;0;4.5;6.5;3.5;3;4;5;4;7;7.5;4;0;5;3;;;2;3;8;0.7418;435;;4;42.64;25;;;4.5;Betis;Barcelona;mer. 01/02 21:00;50;0.40374;0.42821;0.47554
Méndez Brais;MO;27;46;6.12;5.5;5.77;17;2;35;0.96;0.71;0.95;7;0;9;0.94;1;0.97;1358;154;2879;79.88;77;82.26;194;320;6;3.86;6;5;0;8;7;5.5;6;5;6;6.5;7;7;6.5;6;6;7;4;5.5;5;6;5.5;5.5;5;4.5;7;5;5;5.5;5;0;5.5;5;5;8;5;5.5;5;0;6;;1;1;3;4;15;0.8327;989;8;21;46.7;36;;;0;Real Sociedad;Real Madrid;dim. 29/01 21:00;50;0.63972;0.614;0.05412
Chimy Avila;A;23;35;5.5;5.75;5.19;16;2;32;1.47;1.06;1.38;7;1;10;0.88;1;0.84;1057;133;2085;66.06;66.5;65.16;151;209;6;3.29;6.5;5;0;4.5;4;7.5;7;6;5;5;2.5;0;4;7;6;4;7.5;6.5;4.5;3;6;5;4;5;6;5;3.5;7;0;6;0;4;6.5;0;5;5;0;2.5;6;2;;1;1;3;10;0.6136;498;7;3;46.67;11;;;4;Osasuna;Atlético;dim. 29/01 16:15;50;0.47131;;0.09479
Morata Álvaro;A;22;41;5.44;5.44;5.36;18;18;35;1.01;1.01;1.06;7;7;11;0.78;0.78;0.74;1067;1067;2145;59.28;59.28;61.29;152;195;6;3.14;6;4;4.5;7;5;5.5;5;5;6;5.5;4.5;6.5;4.5;4.5;7;5;5;7.5;0;7;5;4.5;5;6;0;3.5;4;7;6.5;5.5;5;5;6.5;4;4.5;6.5;4;0;8.5;;;1;1;1;6;0.6581;424;;8;57.72;21;;;0;Atlético;Osasuna;dim. 29/01 16:15;50;0.02977;0.20828;0.28548
