Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j21;j20;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Haaland Erling;A;47;145;6.5;5.71;6.5;19;7;19;1.45;1.73;1.45;25;7;25;0.95;0.86;0.95;1551;537;1551;81.63;76.71;81.63;62;62;5.5;1.88;8;4;4;6;8;4.5;5.5;0;7;0;5;6.5;9;6.5;6.5;7;8.5;8;6;6.5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4;;1;3;8;9;0.768;455;2;1;41.9;13;;;0;Man. City;Arsenal;mer. 15/02 20:30;50;0.52998;0.59794;
Kane Harry;A;47;95;6.23;0;6.22;20;0;43;1.09;0;1.28;15;0;30;1;0;1;1786;0;3830;89.3;0;89.07;119;128;5;3.13;0;6;8.5;5;6;7;6;5;7;4;7;6.5;5.5;7;5;7;5.5;8;6.5;6.5;5.5;8;5;5;6.5;5;4;8;6.5;7;5.5;8;8;8;5.5;4;4.5;8;6;2;;1;1;8;19;0.7229;767;1;6;40.67;17;;;7;Tottenham;Fulham;lun. 23/01 21:00;46.94835681;0.2754;0.33793;
Toney Ivan;A;30;60;5.64;5;5.49;18;2;35;1.63;1.41;1.56;13;1;18;1;1;0.97;1611;172;3079;89.5;86;87.97;124;171;4;2.31;4;6;0;7.5;6;8;0;4.5;4;4.5;7.5;4;5;3.5;0;9;5;4;6;7;6;4.5;4;7;4;5;4.5;7.5;7;4.5;8;0;5;0;0;0;6;0;5.5;4;1;2;3;7;13;0.6338;744;9;8;42.91;32;;;3.17;Brentford;Southampton;sam. 04/02 16:00;50;0.50093;0.0755;
Mitrovic Aleksandar;A;25;57;5.63;0;5.63;16;0;16;1.68;0;1.68;11;0;11;1;0;1;1373;0;1373;85.81;0;85.81;125;125;6;2.27;0;2.5;6;4;8.5;0;0;4.5;6;6;6.5;0;4;5;0;6.5;7;6;6.5;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;;;1;5;15;0.6057;629;1;5;46.47;23;;;6.5;Fulham;Tottenham;lun. 23/01 21:00;30.76923077;0.32597;0.34784;
Rodrigo;A;23;46;5.56;5.38;5.26;18;13;35;1.24;1.1;1.2;10;6;13;0.94;0.92;0.91;1306;947;2591;72.56;72.85;74.03;131;199;5;2.3;5;4.5;6.5;5;4.5;7.5;5;7;6;3.5;5;5.5;5;0;0;0;4;5;7;8;6;5;5;4;3;5.5;3.5;7;5;6.5;0;4.5;4.5;6;4.5;6.5;5.5;0;2.5;1;;1;1;2;18;0.7222;567;3;4;31.45;16;;;6;Leeds;Man. United;mer. 25/01 21:30;16.2601626;0.321;0.3334;
Almirón Miguel;MO;24;49;5.88;5.88;5.53;20;20;35;1.05;1.05;1.05;9;9;10;1;1;0.8;1671;1671;2429;83.55;83.55;69.4;186;243;6;2.67;5;5.5;5;5;7;6;7;7.5;7;6;4.5;7;8;5;0;5;4.5;5.5;6;5;6;5;6;3;4;5.5;5;5.5;0;7;5;0;5;5;0;0;0;5;11;;;2;1;1;21;0.8289;912;7;23;54.61;12;;;2.5;Newcastle;West Ham;sam. 04/02 18:30;50;0.24747;0.34181;
Rashford Marcus;A;17;50;5.63;5.63;5.17;20;20;36;1.38;1.38;1.29;9;9;11;0.9;0.9;0.69;1621;1621;2358;81.05;81.05;65.5;180;214;6;1.89;6;7;7;6;7.5;5.5;3.5;6.5;4.5;5.5;4.5;6;4;0;5;8.5;6;5;7;4;3.5;0;4.5;0;0;4.5;4;4;4;2.5;5;4.5;4;0;5;4.5;6;0;7;;;2;3;4;12;0.7617;720;4;3;40.12;8;;;0;Man. United;Leeds;mer. 25/01 21:30;67.56756757;0.04227;0.19394;
Ødegaard Martin;MO;29;51;6.44;6.54;6;18;12;38;1.08;1.1;1.13;8;5;11;1;1;1;1527;1030;3249;84.83;85.83;85.5;191;295;6;3.63;5.5;7.5;5;8;7.5;8;5.5;7;5.5;0;7;6.5;5.5;0;0;4.5;6;7.5;7.5;6;6;7.5;5.5;6;5;6;5.5;6;3;6;6;7;4;5.5;6.5;5.5;5;5;9.5;;;1;5;10;12;0.8071;1031;2;13;44.29;18;;;4.5;Arsenal;Man. City;mer. 15/02 20:30;50;0.72194;0.6834;
Saka Bukayo;A;33;64;6.26;6.26;6.03;19;19;39;0.87;0.87;1.11;7;7;15;1;1;1;1626;1626;3293;85.58;85.58;84.44;232;220;5.5;4.71;7.5;6;5;7;7;5;6;6;4.5;0;7;8;6.5;7;0;6;6;6;6.5;6;6;6;5;4.5;6.5;7.5;5;5;3.5;7;6;7;4.5;6.5;8;5.5;5.5;4;9.5;1;;1;7;3;18;0.8138;981;10;13;41.94;22;;;5.5;Arsenal;Man. City;mer. 15/02 20:30;50;0.72194;0.6834;
Gabriel Martinelli;MO;18;40;6;6;5.66;19;19;37;0.94;0.94;1.11;7;7;9;1;1;0.89;1614;1614;2870;84.95;84.95;77.57;231;319;6;2.57;5.5;5.5;5;7.5;6.5;6;5;6;4.5;0;5;7;7;5.5;0;4.5;7;6.5;6;7;7;8;4.5;6;6.5;4;4.5;4;4.5;0;6.5;7;4.5;0;4.5;4;5;5.5;10.5;;;1;2;6;26;0.8254;961;7;10;38.14;25;;;5.5;Arsenal;Man. City;mer. 15/02 20:30;50;0.72194;0.6834;
