Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Osimhen Victor;A;36;91;6.17;6.65;5.97;15;10;30;1.58;1.29;1.36;13;11;22;0.93;0.9;0.87;1252;827;2373;83.47;82.7;79.1;96;108;6;2.77;7;8.5;6.5;4;7;6;6.5;8.5;6;6.5;0;0;0;0;5;3;4;7;7;4.5;6;5;7.5;4.5;5;6;0;7;7.5;4.5;5;6;6.5;7;4.5;0;0;0;6.5;;;;3;2;20;0.7476;411;2;;37.09;24;;;5.5;Napoli;Roma;dim. 29/01 20:45;50;0.80235;0.81556;
Lookman Ademola;A;22;40;5.94;8;5.51;18;2;34;1.26;0;1.23;11;4;16;0.72;1;0.65;1090;171;1956;60.56;85.5;57.53;99;122;5.5;2;8;8;0;3.5;5.5;4.5;6;7.5;4.5;6.5;7;6.5;5;5;7;6;5.5;5;6;4;0;4;0;5;6;6;0;0;0;5;0;7;4;5.5;5;4.5;4;6.5;5;3;;1;3;5;10;0.8023;574;2;2;41.13;12;;;6;Atalanta;Sampdoria;sam. 28/01 20:45;50;0.61511;0.62864;
Martínez Lautaro;A;41;71;5.67;0;5.56;18;0;36;1.16;0;1.38;9;0;19;0.89;0;0.86;1424;0;2650;79.11;0;73.61;158;139;5;4.56;0;6;6;4;6.5;6.5;4.5;5.5;8;7;4.5;5;4;5.5;4;6.5;6;7;5.5;6;8;7.5;5;7;7;0;4;5;5;9;4.5;3.5;5;4;4.5;4.5;4.5;4;5;1;;2;3;6;9;0.7497;628;6;5;46.33;27;;;7.5;Inter;Empoli;lun. 23/01 20:45;77.51937984;0.78839;0.77764;0.75498
MBala Nzola;A;18;31;4.92;0;4.77;18;0;24;1.41;0;1.25;9;0;9;1;0;0.79;1597;0;1764;88.72;0;73.5;177;196;5;2;0;5.5;4;7.5;7.5;4;4;5.5;4;6;3.5;3.5;7;4.5;4;4;5;3;6;0;0;0;0;0;4;4.5;0;0;0;0;5;4;4;0;4.5;0;0;0;3.5;2;;2;1;1;13;0.8012;655;4;3;27.39;38;;;4;Spezia;Bologna;ven. 27/01 18:30;50;0.34734;0.35155;
Rafael Leão;A;33;73;5.91;0;6.08;17;0;36;1.28;0;1.15;8;0;15;0.88;0;0.92;1278;0;2802;75.18;0;77.83;160;187;6;4.13;0;6;5.5;7.5;6.5;4;5;4.5;6;5;6;8;0;5;8;5.5;8;5;5;8;7;7;6;8;6.5;6;6;5;5.5;5;6;4;6.5;5.5;5.5;7;7;7;2.5;;;2;5;8;15;0.7713;634;7;1;42.96;11;;;8;Milan;Lazio;mar. 24/01 20:45;42.55319149;0.70833;0.71846;0.73119
Arnautovic Marko;A;32;54;5.25;0;5.39;14;0;28;1.4;0;1.49;8;0;16;1;0;0.96;1196;0;2351;85.43;0;83.96;150;147;5.5;4;0;0;0;4;6.5;4.5;5;0;6;0;4;3.5;4;7;8;5.5;3.5;6;6;0;5;6.5;4.5;0;6.5;8.5;4.5;4;4;0;6.5;8;3.5;5;4;0;0;7;5;3;;1;;4;5;0.7424;514;2;5;40;18;;;0;Bologna;Cremonese;lun. 23/01 18:30;52.08333333;0.46819;0.47112;0.46348
Dybala Paulo;A;28;49;6.46;6.6;5.93;13;5;29;1.27;1.47;1.24;7;2;12;0.92;0.8;0.9;941;358;2069;72.38;71.6;71.34;134;172;6;4;8;8;4.5;6;6.5;0;0;0;0;0;7;6.5;0;7;4;8;6;7;5.5;4;4.5;7;4;6;4;5;5.5;6;0;0;0;5;6.5;6;5;7;7;5.5;6;1;;2;4;7;9;0.8333;607;5;1;48.42;6;;;0;Roma;Napoli;dim. 29/01 20:45;50;0.643;0.61903;
Kvaratskhelia Khvicha;MO;21;55;6.33;0;6.33;15;0;15;1.53;0;1.53;7;0;7;0.93;0;0.93;1104;0;1104;73.6;0;73.6;158;158;6.5;3;0;9;4.5;3.5;0;0;0;8;5;7;7;6.5;6;6;7;4.5;5.5;8;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;;;1;7;10;14;0.8157;667;1;8;40.74;8;;;5;Napoli;Roma;dim. 29/01 20:45;50;0.80235;0.81556;
Zaccagni Mattia;MO;24;37;5.97;0;5.79;16;0;33;1.09;0;0.98;7;0;9;1;0;0.94;1255;0;2558;78.44;0;77.52;179;284;6;3.43;0;7;6.5;4.5;0;0;5;6;7;5;8;7.5;6;6.5;6.5;5.5;5;5;4.5;5;6;6;6;4;5;5.5;5;0;0;5;5;6;8;6.5;5.5;6;5;6;8;1;;1;3;4;10;0.8272;636;8;13;56.79;25;;;4;Lazio;Milan;mar. 24/01 20:45;33.00330033;0.57508;0.5542;0.58437
Immobile Ciro;A;39;76;5.5;0;5.74;14;0;29;1.44;0;1.39;7;0;20;0.93;0;0.97;1013;0;2363;72.36;0;81.48;145;118;6;5.57;0;4.5;4.5;6;0;4.5;0;0;0;4.5;8;4;8;6;3.5;6;6;4.5;7;0;0;5.5;6;6;6;9;4.5;4;0;6.5;4.5;0;6;7;4.5;8;6;6;5.5;1;;;3;1;9;0.7932;417;1;3;35.06;10;;;6;Lazio;Milan;mar. 24/01 20:45;33.00330033;0.57508;0.5542;0.58437
